"","image","true_pos_count","false_pos_count","false_neg_count","true_neg_count","recall","precision","noise_level","image_id"
"80","group/Output/WT_Pair3_L2R2_1-3_0_25_colocResults_0.csv",217,116,116,0,0.651651651651652,0.651651651651652,"0.25",80
"81","group/Output/WT_Pair3_L2R2_1-3_0_50_colocResults_0.csv",216,117,117,0,0.648648648648649,0.648648648648649,"0.50",81
"82","group/Output/WT_Pair3_L2R2_1-3_0_75_colocResults_0.csv",227,96,106,0,0.681681681681682,0.702786377708978,"0.75",82
"83","group/Output/WT_Pair3_L2R2_1-3_1_00_colocResults_0.csv",90,65,243,0,0.27027027027027,0.580645161290323,"1.00",83
"84","group/Output/WT_Pair3_L2R2_13-15_0_00_colocResults_0.csv",199,133,134,0,0.597597597597598,0.599397590361446,"0.00",84
"85","group/Output/WT_Pair3_L2R2_13-15_0_25_colocResults_0.csv",268,68,65,0,0.804804804804805,0.797619047619048,"0.25",85
"86","group/Output/WT_Pair3_L2R2_13-15_0_50_colocResults_0.csv",273,60,60,0,0.81981981981982,0.81981981981982,"0.50",86
"87","group/Output/WT_Pair3_L2R2_13-15_0_75_colocResults_0.csv",260,71,73,0,0.780780780780781,0.785498489425982,"0.75",87
"88","group/Output/WT_Pair3_L2R2_13-15_1_00_colocResults_0.csv",72,56,261,0,0.216216216216216,0.5625,"1.00",88
"89","group/Output/WT_Pair3_L2R6_1-3_0_00_colocResults_0.csv",265,67,68,0,0.795795795795796,0.798192771084337,"0.00",89
"90","group/Output/WT_Pair3_L2R6_1-3_0_25_colocResults_0.csv",199,134,134,0,0.597597597597598,0.597597597597598,"0.25",90
"91","group/Output/WT_Pair3_L2R6_1-3_0_50_colocResults_0.csv",192,132,141,0,0.576576576576577,0.592592592592593,"0.50",91
"92","group/Output/WT_Pair3_L2R6_1-3_0_75_colocResults_0.csv",84,56,249,0,0.252252252252252,0.6,"0.75",92
"93","group/Output/WT_Pair3_L2R6_1-3_1_00_colocResults_0.csv",4,67,329,0,0.012012012012012,0.0563380281690141,"1.00",93
"94","group/Output/WT_Pair3_L2R6_13-15_0_00_colocResults_0.csv",265,67,68,0,0.795795795795796,0.798192771084337,"0.00",94
"95","group/Output/WT_Pair3_L2R6_13-15_0_25_colocResults_0.csv",310,22,23,0,0.930930930930931,0.933734939759036,"0.25",95
"96","group/Output/WT_Pair3_L2R6_13-15_0_50_colocResults_0.csv",328,5,5,0,0.984984984984985,0.984984984984985,"0.50",96
"97","group/Output/WT_Pair3_L2R6_13-15_0_75_colocResults_0.csv",307,28,26,0,0.921921921921922,0.916417910447761,"0.75",97
"98","group/Output/WT_Pair3_L2R6_13-15_1_00_colocResults_0.csv",215,20,118,0,0.645645645645646,0.914893617021277,"1.00",98
"99","group/Output/KO_Pair3_L2R3_13-15_0_00_colocResults_0.csv",0,0,333,0,0,0,"0.00",99
"100","group/Output/WT_Pair2_L2R3_1-3_0_00_colocResults_0.csv",0,0,333,0,0,0,"0.00",100
