"","image","true_pos_count","false_pos_count","false_neg_count","true_neg_count","recall","precision","condition","noise_level","image_id"
"60","group/Output/WT_Pair1_L2R2_1-3_1_00_redResults_0.csv",116,13,217,0,0.348348348348348,0.89922480620155,"WT","1.00",60
"61","group/Output/WT_Pair1_L2R3_1-3_0_00_redResults_0.csv",265,67,68,0,0.795795795795796,0.798192771084337,"WT","0.00",61
"62","group/Output/WT_Pair1_L2R3_1-3_0_25_redResults_0.csv",247,85,86,0,0.741741741741742,0.743975903614458,"WT","0.25",62
"63","group/Output/WT_Pair1_L2R3_1-3_0_50_redResults_0.csv",252,58,81,0,0.756756756756757,0.812903225806452,"WT","0.50",63
"64","group/Output/WT_Pair1_L2R3_1-3_0_75_redResults_0.csv",181,26,152,0,0.543543543543544,0.8743961352657,"WT","0.75",64
"65","group/Output/WT_Pair1_L2R3_1-3_1_00_redResults_0.csv",69,9,264,0,0.207207207207207,0.884615384615385,"WT","1.00",65
"66","group/Output/WT_Pair2_L2R1_1-3_0_00_redResults_0.csv",265,67,68,0,0.795795795795796,0.798192771084337,"WT","0.00",66
"67","group/Output/WT_Pair2_L2R1_1-3_0_25_redResults_0.csv",324,8,9,0,0.972972972972973,0.975903614457831,"WT","0.25",67
"68","group/Output/WT_Pair2_L2R1_1-3_0_50_redResults_0.csv",326,6,7,0,0.978978978978979,0.981927710843373,"WT","0.50",68
"69","group/Output/WT_Pair2_L2R1_1-3_0_75_redResults_0.csv",311,9,22,0,0.933933933933934,0.971875,"WT","0.75",69
"70","group/Output/WT_Pair2_L2R1_1-3_1_00_redResults_0.csv",279,33,54,0,0.837837837837838,0.894230769230769,"WT","1.00",70
"71","group/Output/WT_Pair2_L2R2_1-3_0_00_redResults_0.csv",332,0,1,0,0.996996996996997,1,"WT","0.00",71
"72","group/Output/WT_Pair2_L2R2_1-3_0_25_redResults_0.csv",318,14,15,0,0.954954954954955,0.957831325301205,"WT","0.25",72
"73","group/Output/WT_Pair2_L2R2_1-3_0_50_redResults_0.csv",323,9,10,0,0.96996996996997,0.97289156626506,"WT","0.50",73
"74","group/Output/WT_Pair2_L2R2_1-3_0_75_redResults_0.csv",321,9,12,0,0.963963963963964,0.972727272727273,"WT","0.75",74
"75","group/Output/WT_Pair2_L2R2_1-3_1_00_redResults_0.csv",278,34,55,0,0.834834834834835,0.891025641025641,"WT","1.00",75
"76","group/Output/WT_Pair2_L2R3_1-3_0_00_redResults_0.csv",332,0,1,0,0.996996996996997,1,"WT","0.00",76
"77","group/Output/WT_Pair2_L2R3_1-3_0_25_redResults_0.csv",332,0,1,0,0.996996996996997,1,"WT","0.25",77
"78","group/Output/WT_Pair2_L2R3_1-3_0_50_redResults_0.csv",313,3,20,0,0.93993993993994,0.990506329113924,"WT","0.50",78
"79","group/Output/WT_Pair2_L2R3_1-3_0_75_redResults_0.csv",266,7,67,0,0.798798798798799,0.974358974358974,"WT","0.75",79
"80","group/Output/WT_Pair2_L2R3_1-3_1_00_redResults_0.csv",130,26,203,0,0.39039039039039,0.833333333333333,"WT","1.00",80
"81","group/Output/WT_Pair3_L2R2_1-3_0_00_redResults_0.csv",267,65,66,0,0.801801801801802,0.80421686746988,"WT","0.00",81
"82","group/Output/WT_Pair3_L2R2_1-3_0_25_redResults_0.csv",257,75,76,0,0.771771771771772,0.774096385542169,"WT","0.25",82
"83","group/Output/WT_Pair3_L2R2_1-3_0_50_redResults_0.csv",243,89,90,0,0.72972972972973,0.731927710843373,"WT","0.50",83
"84","group/Output/WT_Pair3_L2R2_1-3_0_75_redResults_0.csv",213,82,120,0,0.63963963963964,0.722033898305085,"WT","0.75",84
"85","group/Output/WT_Pair3_L2R2_1-3_1_00_redResults_0.csv",126,62,207,0,0.378378378378378,0.670212765957447,"WT","1.00",85
"86","group/Output/WT_Pair3_L2R2_13-15_0_00_redResults_0.csv",266,67,67,0,0.798798798798799,0.798798798798799,"WT","0.00",86
"87","group/Output/WT_Pair3_L2R2_13-15_0_25_redResults_0.csv",216,61,117,0,0.648648648648649,0.779783393501805,"WT","0.25",87
"88","group/Output/WT_Pair3_L2R2_13-15_0_50_redResults_0.csv",222,38,111,0,0.666666666666667,0.853846153846154,"WT","0.50",88
"89","group/Output/WT_Pair3_L2R2_13-15_0_75_redResults_0.csv",189,46,144,0,0.567567567567568,0.804255319148936,"WT","0.75",89
"90","group/Output/WT_Pair3_L2R2_13-15_1_00_redResults_0.csv",54,17,279,0,0.162162162162162,0.76056338028169,"WT","1.00",90
"91","group/Output/WT_Pair3_L2R6_1-3_0_00_redResults_0.csv",266,66,67,0,0.798798798798799,0.801204819277108,"WT","0.00",91
"92","group/Output/WT_Pair3_L2R6_1-3_0_25_redResults_0.csv",264,68,69,0,0.792792792792793,0.795180722891566,"WT","0.25",92
"93","group/Output/WT_Pair3_L2R6_1-3_0_50_redResults_0.csv",237,61,96,0,0.711711711711712,0.795302013422819,"WT","0.50",93
"94","group/Output/WT_Pair3_L2R6_1-3_0_75_redResults_0.csv",113,36,220,0,0.339339339339339,0.758389261744966,"WT","0.75",94
"95","group/Output/WT_Pair3_L2R6_1-3_1_00_redResults_0.csv",66,44,267,0,0.198198198198198,0.6,"WT","1.00",95
"96","group/Output/WT_Pair3_L2R6_13-15_0_00_redResults_0.csv",265,67,68,0,0.795795795795796,0.798192771084337,"WT","0.00",96
"97","group/Output/WT_Pair3_L2R6_13-15_0_25_redResults_0.csv",317,15,16,0,0.951951951951952,0.954819277108434,"WT","0.25",97
"98","group/Output/WT_Pair3_L2R6_13-15_0_50_redResults_0.csv",316,14,17,0,0.948948948948949,0.957575757575758,"WT","0.50",98
"99","group/Output/WT_Pair3_L2R6_13-15_0_75_redResults_0.csv",254,22,79,0,0.762762762762763,0.920289855072464,"WT","0.75",99
"100","group/Output/WT_Pair3_L2R6_13-15_1_00_redResults_0.csv",171,26,162,0,0.513513513513513,0.868020304568528,"WT","1.00",100
