Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\KO_Pair3_L2R3_13-15_0_50.tif,667,666,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_0_75.tif,667,664,331,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_1_00.tif,664,654,318,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_0_00.tif,667,666,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_0_25.tif,667,666,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_0_50.tif,720,668,351,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_0_75.tif,644,760,214,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_1_00.tif,466,1276,113,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_0_00.tif,801,666,399,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_0_25.tif,596,666,287,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_0_50.tif,520,663,256,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_0_75.tif,400,739,204,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_1_00.tif,281,1247,129,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_0_00.tif,667,666,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_0_25.tif,667,666,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_0_50.tif,663,646,310,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_0_75.tif,575,560,207,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_1_00.tif,368,730,78,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair2_L2R1_1-3_0_00.tif,667,666,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
