Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\WT_Pair1_L2R1_1-3_sim_0_75.tif,1157,861,612,0,66,255,81,255,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_sim_1_00.tif,1168,694,356,0,71,255,104,255,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_sim_0_00.tif,1000,1000,999,0,20,255,24,255,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_sim_0_25.tif,1000,1000,999,0,25,255,32,255,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_sim_0_50.tif,1007,1004,999,0,37,255,57,255,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_sim_0_75.tif,1056,913,828,0,53,255,78,255,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_sim_1_00.tif,1076,845,680,0,67,255,101,255,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_sim_0_00.tif,1000,1000,999,0,30,255,28,255,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_sim_0_25.tif,1000,1000,999,0,33,255,35,255,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_sim_0_50.tif,1001,1001,999,0,44,255,51,255,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_sim_0_75.tif,1082,1038,928,0,61,255,68,255,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_sim_1_00.tif,1184,771,584,0,75,255,86,255,4,4,1,pixels
Output\WT_Pair2_L2R1_1-3_sim_0_00.tif,1000,1000,999,0,22,255,78,255,4,4,1,pixels
Output\WT_Pair2_L2R1_1-3_sim_0_25.tif,1000,1000,999,0,25,255,73,255,4,4,1,pixels
Output\WT_Pair2_L2R1_1-3_sim_0_50.tif,1000,1002,1001,0,30,255,70,255,4,4,1,pixels
Output\WT_Pair2_L2R1_1-3_sim_0_75.tif,1004,1036,913,0,41,255,74,255,4,4,1,pixels
Output\WT_Pair2_L2R1_1-3_sim_1_00.tif,1011,899,609,0,52,255,91,255,4,4,1,pixels
Output\WT_Pair2_L2R2_1-3_sim_0_00.tif,1000,1000,999,0,17,255,40,255,4,4,1,pixels
Output\WT_Pair2_L2R2_1-3_sim_0_25.tif,1000,1000,999,0,20,255,45,255,4,4,1,pixels
Output\WT_Pair2_L2R2_1-3_sim_0_50.tif,1000,1000,999,0,25,255,58,255,4,4,1,pixels
Output\WT_Pair2_L2R2_1-3_sim_0_75.tif,1011,1183,1141,0,34,255,75,255,4,4,1,pixels
Output\WT_Pair2_L2R2_1-3_sim_1_00.tif,1021,906,622,0,44,255,93,255,4,4,1,pixels
Output\WT_Pair2_L2R3_1-3_sim_0_00.tif,1000,1000,999,0,14,255,23,255,4,4,1,pixels
Output\WT_Pair2_L2R3_1-3_sim_0_25.tif,1000,1001,999,0,17,255,33,255,4,4,1,pixels
Output\WT_Pair2_L2R3_1-3_sim_0_50.tif,1007,1021,999,0,27,255,58,255,4,4,1,pixels
Output\WT_Pair2_L2R3_1-3_sim_0_75.tif,1031,1028,676,0,38,255,80,255,4,4,1,pixels
Output\WT_Pair2_L2R3_1-3_sim_1_00.tif,1052,747,317,0,50,255,104,255,4,4,1,pixels
Output\WT_Pair3_L2R2_1-3_sim_0_00.tif,1000,1000,999,0,73,255,26,255,4,4,1,pixels
Output\WT_Pair3_L2R2_1-3_sim_0_25.tif,1000,1000,999,0,69,255,31,255,4,4,1,pixels
Output\WT_Pair3_L2R2_1-3_sim_0_50.tif,1000,1006,999,0,65,255,48,255,4,4,1,pixels
Output\WT_Pair3_L2R2_1-3_sim_0_75.tif,1017,1064,901,0,67,255,66,255,4,4,1,pixels
Output\WT_Pair3_L2R2_1-3_sim_1_00.tif,1108,741,430,0,80,255,83,255,4,4,1,pixels
Output\WT_Pair3_L2R2_13-15_sim_0_00.tif,1000,1000,999,0,64,255,20,255,4,4,1,pixels
Output\WT_Pair3_L2R2_13-15_sim_0_25.tif,1000,1000,999,0,61,255,27,255,4,4,1,pixels
Output\WT_Pair3_L2R2_13-15_sim_0_50.tif,1000,1019,999,0,58,255,47,255,4,4,1,pixels
Output\WT_Pair3_L2R2_13-15_sim_0_75.tif,1076,1069,1033,0,62,255,66,255,4,4,1,pixels
Output\WT_Pair3_L2R2_13-15_sim_1_00.tif,1095,835,417,0,74,255,84,255,4,4,1,pixels
Output\WT_Pair3_L2R6_1-3_sim_0_00.tif,1000,1000,999,0,23,255,17,255,4,4,1,pixels
Output\WT_Pair3_L2R6_1-3_sim_0_25.tif,1000,1008,999,0,27,255,37,255,4,4,1,pixels
Output\WT_Pair3_L2R6_1-3_sim_0_50.tif,1012,1065,944,0,40,255,68,255,4,4,1,pixels
Output\WT_Pair3_L2R6_1-3_sim_0_75.tif,1069,629,389,0,58,255,97,255,4,4,1,pixels
Output\WT_Pair3_L2R6_1-3_sim_1_00.tif,1077,631,204,0,73,255,122,255,4,4,1,pixels
Output\WT_Pair3_L2R6_13-15_sim_0_00.tif,1000,1000,999,0,26,255,33,255,4,4,1,pixels
Output\WT_Pair3_L2R6_13-15_sim_0_25.tif,1000,1000,999,0,29,255,39,255,4,4,1,pixels
Output\WT_Pair3_L2R6_13-15_sim_0_50.tif,1000,1000,999,0,35,255,54,255,4,4,1,pixels
Output\WT_Pair3_L2R6_13-15_sim_0_75.tif,1001,1068,999,0,46,255,71,255,4,4,1,pixels
Output\WT_Pair3_L2R6_13-15_sim_1_00.tif,1014,982,664,0,58,255,89,255,4,4,1,pixels
