Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\KO_Pair3_L2R3_1-3_sim_1_00.tif,890,925,710,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_sim_0_00.tif,1000,1000,999,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_sim_0_25.tif,1000,1000,999,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_sim_0_50.tif,1000,1000,999,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_sim_0_75.tif,1000,999,998,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_sim_1_00.tif,990,967,952,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_sim_0_00.tif,1000,1000,999,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_sim_0_25.tif,1000,1000,999,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_sim_0_50.tif,1091,1000,1081,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_sim_0_75.tif,953,1006,594,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_sim_1_00.tif,691,1417,293,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_sim_0_00.tif,1200,1000,1199,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_sim_0_25.tif,866,1000,865,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_sim_0_50.tif,767,994,766,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_sim_0_75.tif,559,988,558,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_sim_1_00.tif,406,1409,351,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_sim_0_00.tif,1000,1000,999,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_sim_0_25.tif,1000,1000,999,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
